,kakou_no,status,statusRate,X,Y
221,3701033071.0,0,0.606060606061,116.8638919,36.61470449
222,3701033072.0,0,0.952651515152,117.0228418,36.61584231
223,3701033073.0,0,0.689393939394,116.9595329,36.55448939
224,3701033074.0,0,0.63446969697,116.9760888,36.55119098
233,3701033101.0,0,0.936237373737,117.0166158,36.63147778
234,3701033102.0,0,0.667613636364,117.0117524,36.61894457
235,3701033103.0,0,0.964015151515,117.0046367,36.63179739
236,3701033105.0,0,0.969065656566,116.9967486,36.61933248
237,3701033106.0,0,0.951388888889,116.9912513,36.64546405
238,3701033107.0,0,0.36047979798,117.0075899,36.64837892
239,3701033108.0,0,0.965909090909,117.0013766,36.64857068
240,3701033109.0,0,0.971590909091,116.9960861,36.64840983
241,3701033110.0,0,0.81865530303,116.9960582,36.65162618
242,3701033111.0,0,0.888257575758,116.9914047,36.65171568
243,3701033112.0,0,0.952178030303,116.9847253,36.64851359
244,3701033113.0,0,0.670454545455,117.0012736,36.65748804
245,3701033114.0,0,0.971590909091,116.9920398,36.65562052
246,3701033115.0,0,0.71654040404,116.9911873,36.66153419
247,3701033116.0,0,0.965909090909,116.9857028,36.66732558
249,3701033120.0,0,0.957070707071,116.9916732,36.65806958
250,3701033121.0,0,0.753314393939,116.990139,36.66519056
251,3701033122.0,0,0.735795454545,116.9903563,36.66356693
252,3701033123.0,0,0.932449494949,116.9920439,36.65832527
253,3701033124.0,0,0.857007575758,116.9859457,36.66726165
254,3701033126.0,0,0.967803030303,116.9848462,36.66410388
255,3701033127.0,0,0.969696969697,116.9959304,36.64551518
256,3701033128.0,0,0.966856060606,117.0089834,36.60696985
257,3701033129.0,0,0.958333333333,117.0147109,36.6271694
258,3701033130.0,0,0.809343434343,117.0124736,36.62029132
259,3701033131.0,0,0.950757575758,117.0137392,36.62497046
260,3701033132.0,0,0.974116161616,117.0100445,36.61474284
261,3701033133.0,0,0.632575757576,117.0060174,36.60258476
262,3701033134.0,0,0.899621212121,117.0277127,36.62392213
263,3701033135.0,0,0.831439393939,117.0055571,36.66374591
264,3701033136.0,0,0.935606060606,116.9908805,36.63891837
265,3701033138.0,0,0.958333333333,116.9849741,36.6455024
266,3701033139.0,0,0.801136363636,116.9910851,36.65377398
267,3701033140.0,0,0.969065656566,116.9847439,36.65189466
268,3701033141.0,0,0.604166666667,116.992095,36.63060843
269,3701033142.0,0,0.939393939394,116.9902413,36.63009705
270,3701033143.0,0,0.969065656566,116.9770349,36.63178461
271,3701033144.0,0,0.962121212121,116.9901134,36.58508275
272,3701033145.0,0,0.932765151515,116.991264,36.58757573
273,3701033148.0,0,0.50946969697,116.9888094,36.61336211
274,3701033149.0,0,0.763257575758,116.9743629,36.61397577
275,3701033150.0,0,0.969696969697,116.9511974,36.61657103
276,3701033151.0,0,0.943181818182,116.9542017,36.63233434
277,3701033152.0,0,0.969696969697,116.9539844,36.62902315
