kakou_no,statusRate,X,Y
3701033130,0.82 ,117.0124736,36.62029132
3701033131,0.98 ,117.0137392,36.62497046
3701033132,0.98 ,117.0100445,36.61474284
3701033133,0.63 ,117.0060174,36.60258476
3701033134,0.93 ,117.0277127,36.62392213
3701033135,0.84 ,117.0055571,36.66374591
3701033136,0.97 ,116.9908805,36.63891837
3701033138,0.97 ,116.9849741,36.6455024
3701033139,0.81 ,116.9910851,36.65377398
3701033140,0.97 ,116.9847439,36.65189466
3701033141,0.61 ,116.992095,36.63060843
3701033142,0.98 ,116.9902413,36.63009705
3701033143,0.98 ,116.9770349,36.63178461
3701033144,0.98 ,116.9901134,36.58508275
3701033145,0.98 ,116.991264,36.58757573
3701033148,0.52 ,116.9888094,36.61336211
3701033149,0.77 ,116.9743629,36.61397577
3701033150,0.98 ,116.9511974,36.61657103
3701033151,0.96 ,116.9542017,36.63233434
3701033152,0.98 ,116.9539844,36.62902315
3701033154,0.98 ,116.9448307,36.60238021
3701033156,0.96 ,116.9055183,36.58693651
3701033157,0.98 ,116.9506221,36.61251833
3701033160,0.95 ,116.9991521,36.65162618
3701033202,0.97 ,117.0066566,36.60905373
3701033203,0.96 ,117.0092263,36.60712327
3701033619,0.98 ,116.9739922,36.61347717
3701044001,0.89 ,116.8864438,36.70301996
3701044002,0.47 ,116.882097,36.72077766
3701044003,0.95 ,116.8822632,36.72077766
3701044006,0.09 ,116.8631759,36.64467141
3701044007,0.57 ,116.8800515,36.64860904
3701044008,0.60 ,116.8849607,36.64359751
3701044009,0.70 ,116.8873387,36.61473006
3701044010,0.70 ,116.8815345,36.63469948
3701044011,0.50 ,116.9076916,36.6445947
3701044012,0.39 ,116.9153368,36.65208643
3701044013,0.14 ,116.9217802,36.65200972
3701044015,0.53 ,116.9002638,36.65192023
3701044016,0.97 ,116.9384512,36.69867322
3701044017,0.34 ,116.925884,36.70496321
3701044018,0.84 ,116.9506221,36.66799037
3701044020,0.98 ,116.9402794,36.6632601
3701044021,0.93 ,116.9479117,36.66678863
3701044022,0.89 ,116.9411359,36.66328567
3701044027,0.81 ,116.9781855,36.66236518
3701044029,0.98 ,116.8557609,36.64661465
3701044031,0.81 ,116.8463515,36.65566609
3701044032,0.88 ,116.867267,36.64794424
3701044033,0.58 ,116.8502124,36.70470752
3701044040,0.71 ,116.8456867,36.67786002
3701044041,0.72 ,116.8513119,36.64917156
3701044042,0.64 ,36.6445277,116.9098056
3701044043,0.68 ,36.6448611,116.9066944
3701044044,0.98 ,36.6551389,116.9625833
3701044045,0.54 ,116.9408291,36.66222455
3701044101,0.77 ,116.9414172,36.69358498
3701044102,0.79 ,116.9687761,36.65689341
3701044103,0.98 ,116.9559532,36.65364614
3701044104,0.98 ,116.9802821,36.65431093
3701044105,0.91 ,116.9772034,36.66511374
3701044106,0.81 ,116.9770604,36.63574781
3701044107,0.90 ,116.9544446,36.64414724
3701044108,0.41 ,116.8928616,36.65060342
3701044109,0.98 ,116.9273159,36.65154948
3701044110,0.95 ,116.9547898,36.64904371
3701044115,0.75 ,116.9763956,36.64042694
3701044116,0.89 ,116.9849996,36.64551518
3701044117,0.98 ,116.9741967,36.64881359
3701044118,0.97 ,116.922445,36.65131936
