kakou_no,X,Y
3701033112,116.9847253,36.64851359
3701033114,116.9920398,36.65562052
3701033113,117.0012736,36.65748804
3701033116,116.9857028,36.66732558
3701033115,116.9911873,36.66153419
3701033111,116.9914047,36.65171568
3701033110,116.9960582,36.65162618
3701033106,116.9912513,36.64546405
3701033105,116.9967486,36.61933248
3701055008,117.0176641,36.70989803
3701033101,117.0166158,36.63147778
3701033102,117.0117524,36.61894457
3701033103,117.0046367,36.63179739
3701033023,116.8839508,36.58204003
3701033024,116.9130995,36.58928886
3701033025,116.8258963,36.61526701
3701033026,116.8669474,36.57071295
3701044021,116.9479117,36.66678863
3701033028,116.8970421,36.58050589
3701033029,116.8956742,36.56902539
3701126012,117.0714869,36.67174902
3701257102,116.9319055,37.01409294
3701260008,117.3178958,37.41256091
3701260004,117.0407274,37.25791934
3701033064,117.0390909,36.72178764
3701033032,116.9902541,36.62966238
3701033033,116.999689,36.61475562
3701033034,117.0113485,36.61905122
3701260003,117.0397046,37.2589421
3701033065,116.9961989,36.63045502
3701033036,116.9959304,36.65421989
3701260002,117.162436,37.13314241
3701260001,117.1616178,37.13334696
3701033039,116.9735721,36.65494614
3701260007,117.3211686,37.416856
3701033051,116.9251204,36.64903234
3701240008,116.4682876,36.29775063
3701033054,116.9460708,36.62459971
3701033053,116.9348715,36.62034246
3701240009,116.46241,36.29452
3701033056,116.9226823,36.63009779
3701033057,116.92458,36.6473178
3701240013,116.45772,36.27665
3701240012,116.4390878,36.2834831
3701240011,116.45138,36.28285
3701033043,116.9301668,36.61168734
3701240017,116.4748333,36.27954547
3701240016,116.45096,36.28888
3701033047,116.9766897,36.62709269
3701126019,117.0705536,36.71557436
3701240015,116.4551963,36.28297172
3701240014,116.45209,36.27285
3701240005,116.36566,36.23981
3701240004,116.45015,36.13574
3701240003,116.45205,116.45205
3701240010,116.43631,36.27267
3701240002,116.38699,36.27792
3701240001,116.46569,36.06751
3701033050,116.9906632,36.6388928
3701055101,117.0162066,36.67793673
3701055102,117.0145278,36.67730447
3701055103,116.9909189,36.66855289
3701055104,116.9880972,36.68404828
3701055105,116.9713841,36.68305054
3701055106,116.9514403,36.69166731
3701055107,116.9517727,36.7181824
3701055108,116.9684181,36.72091829
3701055109,116.9885665,36.72229902
3701055110,116.9876822,36.70676974
3701055111,116.9705659,36.69841753
3701055112,116.9934758,36.70498878
3701055113,117.0024505,36.70299439
3701055114,117.027815,36.70250858
3701055115,117.0221642,36.70291769
3701055116,117.0109394,36.7034802
3701055118,117.045317,36.70287933
3701055119,117.0372752,36.68923583
3701022043,117.0106326,36.6553337
3701022001,117.064839,36.65796731
3701022002,117.0648134,36.66551018
3701022003,117.0588047,36.66617497
3701022004,117.0628702,36.66392489
3701022005,117.0647111,36.6625953
3701022007,117.0806534,36.65672721
